model,person,predicted_person,count,n_seeds,mean_confidence,mean_abs_yaw
Model_B,person042,person036,19,3,0.40301916,86.05263157894737
Model_B,person009,person036,18,3,0.47228718,86.66666666666667
Model_B,person079,person036,17,3,0.55442244,86.47058823529412
Model_B,person148,person116,14,3,0.24699359,69.64285714285714
Model_B,person149,person059,13,3,0.45524853,35.76923076923077
Model_B,person016,person036,13,2,0.33741194,90.0
Model_B,person022,person015,12,3,0.30779108,81.25
Model_B,person148,person039,11,3,0.3732702,60.0
Model_B,person018,person036,11,3,0.26023605,88.63636363636364
Model_B,person112,person140,11,2,0.2532396,84.54545454545455
Model_B,person085,person081,11,2,0.20149194,87.27272727272727
Model_B,person114,person036,10,3,0.4469033,90.0
Model_B,person033,person149,10,3,0.20291504,90.0
Model_B,person040,person101,10,2,0.47270554,84.0
Model_B,person101,person104,9,3,0.5168388,15.0
Model_B,person144,person080,9,3,0.43913174,86.66666666666667
Model_B,person108,person144,9,2,0.28053904,33.333333333333336
Model_B,person025,person034,9,1,0.22471873,85.0
Model_B,person011,person101,8,3,0.38265473,75.0
Model_B,person010,person110,8,3,0.31682107,84.375
Model_B,person098,person101,8,3,0.2953696,84.375
Model_B,person073,person084,8,3,0.21622422,86.25
Model_B,person012,person036,8,3,0.14904806,90.0
Model_B,person125,person103,8,2,0.60298496,45.0
Model_B,person052,person072,8,2,0.4797199,26.25
Model_B,person089,person062,8,2,0.3621337,80.625
Model_B,person023,person059,8,2,0.3402224,75.0
Model_B,person077,person063,8,2,0.30489853,67.5
Model_B,person097,person143,8,2,0.26296836,90.0
Model_B,person124,person101,8,2,0.1882721,82.5
