model,confidence_bin_low,confidence_bin_high,n_images_mean,mean_confidence_mean,mean_confidence_sd,accuracy_mean,accuracy_sd
Model_A,0.0,0.1,2622.3333333333335,0.0711999,0.0020443217,0.057705680505806135,0.005868051219952921
Model_A,0.1,0.2,2647.6666666666665,0.14154676,0.0022073276,0.09485715537395545,0.0183729718748487
Model_A,0.2,0.30000000000000004,1044.0,0.24170725,0.0006317687,0.1478272643159855,0.057987058069981466
Model_A,0.30000000000000004,0.4,477.3333333333333,0.34359112,0.0009166669,0.23061136028213827,0.08835610793031179
Model_A,0.4,0.5,241.0,0.4443544,0.001699638,0.3380063697767408,0.06505803808785196
Model_A,0.5,0.6000000000000001,138.33333333333334,0.54605836,0.003473943,0.4651901565995526,0.11619357729569892
Model_A,0.6000000000000001,0.7000000000000001,84.33333333333333,0.6456541,0.0005162517,0.6454603370500833,0.17180679850110103
Model_A,0.7000000000000001,0.8,46.333333333333336,0.7470265,0.007930444,0.8057862679955704,0.16863959536195341
Model_A,0.8,0.9,30.666666666666668,0.84257007,0.003307692,0.7916666666666666,0.29166666666666663
Model_A,0.9,1.0,624.0,0.995805,0.00090655376,0.99625468164794,0.006487081676287945
Model_B,0.0,0.1,132.0,0.08198149,0.0005725895,0.18519246447705565,0.03542984055170634
Model_B,0.1,0.2,591.6666666666666,0.1510834,0.0012281062,0.29164485558274195,0.044633456774816664
Model_B,0.2,0.30000000000000004,520.3333333333334,0.24719496,0.0009438416,0.4571556697808116,0.014589583763486194
Model_B,0.30000000000000004,0.4,395.6666666666667,0.34832916,0.0011407005,0.6601696031104249,0.018411697974526013
Model_B,0.4,0.5,354.0,0.4488038,0.0009836025,0.8127460238558081,0.028001118880534165
Model_B,0.5,0.6000000000000001,333.6666666666667,0.55081207,0.0014685103,0.896907823465687,0.021021585995924293
Model_B,0.6000000000000001,0.7000000000000001,381.3333333333333,0.6514073,0.002705976,0.9490164118280999,0.011957935227118355
Model_B,0.7000000000000001,0.8,466.0,0.7527671,0.0014417355,0.9768304719769031,0.017258054058393143
Model_B,0.8,0.9,733.3333333333334,0.8550127,0.0014363208,0.9953580938481051,0.003681837888105801
Model_B,0.9,1.0,4048.0,0.97571707,0.0012179426,0.9998424700693133,0.0002728498436623165
