model,person,predicted_person,count,n_seeds,mean_confidence,mean_abs_yaw
Model_A,person077,person058,62,3,0.23011737,54.435483870967744
Model_A,person015,person058,61,3,0.26113942,60.0
Model_A,person012,person079,55,3,0.38476953,61.63636363636363
Model_A,person031,person126,52,3,0.29007962,56.82692307692308
Model_A,person081,person126,51,3,0.27358484,57.94117647058823
Model_A,person090,person126,50,3,0.3447154,54.3
Model_A,person119,person058,50,3,0.2757906,66.9
Model_A,person148,person002,49,3,0.19103418,52.6530612244898
Model_A,person098,person058,48,3,0.20498203,52.1875
Model_A,person057,person058,47,3,0.19058156,52.659574468085104
Model_A,person083,person126,46,3,0.2111034,53.80434782608695
Model_A,person084,person002,45,3,0.31224775,46.333333333333336
Model_A,person055,person126,45,3,0.27020165,56.333333333333336
Model_A,person045,person058,45,3,0.20406908,49.333333333333336
Model_A,person116,person058,44,3,0.27196234,51.47727272727273
Model_A,person069,person126,44,3,0.2677221,59.65909090909091
Model_A,person063,person058,44,3,0.23322636,51.47727272727273
Model_A,person067,person002,44,3,0.23178078,45.68181818181818
Model_A,person080,person126,43,3,0.29469886,55.46511627906977
Model_A,person038,person126,42,3,0.2862001,57.5
Model_A,person138,person002,42,3,0.25651115,54.642857142857146
Model_A,person005,person126,42,3,0.23135437,52.142857142857146
Model_A,person096,person126,42,3,0.22687744,60.0
Model_A,person023,person002,42,3,0.22162472,52.5
Model_A,person005,person002,42,3,0.215751,47.142857142857146
Model_A,person048,person079,42,3,0.19938564,69.28571428571429
Model_A,person021,person058,42,3,0.19571725,46.07142857142857
Model_A,person148,person126,42,2,0.28310615,55.357142857142854
Model_A,person060,person126,41,3,0.27399534,58.90243902439025
Model_A,person030,person126,41,3,0.23367247,56.34146341463415
Model_A,person068,person126,41,3,0.21000837,53.048780487804876
Model_A,person127,person058,41,3,0.15053229,53.048780487804876
Model_A,person062,person126,40,3,0.3437457,57.75
Model_A,person007,person126,40,3,0.25539714,54.75
Model_A,person151,person126,40,3,0.20608397,54.375
Model_A,person121,person002,40,3,0.19462751,54.375
Model_A,person108,person002,40,3,0.17218208,42.375
Model_A,person019,person126,39,3,0.2514641,63.46153846153846
Model_A,person041,person126,39,3,0.23690791,53.84615384615385
Model_A,person085,person126,39,3,0.22762161,60.0
Model_A,person023,person126,39,3,0.22704147,58.46153846153846
Model_A,person045,person002,39,3,0.20412873,57.30769230769231
Model_A,person128,person126,38,3,0.3405168,51.31578947368421
