seed,model,confidence_bin_low,confidence_bin_high,n_images,mean_confidence,accuracy
42,Model_A,0.0,0.1,3418,0.06884104,0.051492100643651256
42,Model_A,0.1,0.2,2403,0.13900319,0.11568872243029546
42,Model_A,0.2,0.30000000000000004,737,0.24145967,0.21438263229308005
42,Model_A,0.30000000000000004,0.4,375,0.34286222,0.33066666666666666
42,Model_A,0.4,0.5,160,0.4429101,0.4125
42,Model_A,0.5,0.6000000000000001,100,0.5481768,0.56
42,Model_A,0.6000000000000001,0.7000000000000001,69,0.6459835,0.8405797101449275
42,Model_A,0.7000000000000001,0.8,40,0.7522096,1.0
42,Model_A,0.8,0.9,32,0.8431593,1.0
42,Model_A,0.9,1.0,622,0.99574274,1.0
42,Model_B,0.0,0.1,106,0.08243684,0.18867924528301888
42,Model_B,0.1,0.2,567,0.1498513,0.25749559082892415
42,Model_B,0.2,0.30000000000000004,514,0.24632286,0.44163424124513617
42,Model_B,0.30000000000000004,0.4,375,0.34783632,0.6426666666666667
42,Model_B,0.4,0.5,346,0.44857004,0.838150289017341
42,Model_B,0.5,0.6000000000000001,328,0.5524371,0.875
42,Model_B,0.6000000000000001,0.7000000000000001,352,0.6534937,0.9602272727272727
42,Model_B,0.7000000000000001,0.8,439,0.75117165,0.958997722095672
42,Model_B,0.8,0.9,697,0.85544974,0.9913916786226685
42,Model_B,0.9,1.0,4232,0.97656876,0.9995274102079396
123,Model_A,0.0,0.1,2106,0.07230135,0.06315289648622982
123,Model_A,0.1,0.2,2798,0.14295992,0.08791994281629735
123,Model_A,0.2,0.30000000000000004,1249,0.24123676,0.12089671737389912
123,Model_A,0.30000000000000004,0.4,561,0.34462026,0.19786096256684493
123,Model_A,0.4,0.5,262,0.44392574,0.30916030534351147
123,Model_A,0.5,0.6000000000000001,166,0.547949,0.5
123,Model_A,0.6000000000000001,0.7000000000000001,95,0.6459196,0.5789473684210527
123,Model_A,0.7000000000000001,0.8,56,0.7509728,0.6964285714285714
123,Model_A,0.8,0.9,36,0.84554356,0.9166666666666666
123,Model_A,0.9,1.0,627,0.9967411,1.0
123,Model_B,0.0,0.1,128,0.08216896,0.21875
123,Model_B,0.1,0.2,603,0.1510914,0.2752902155887231
123,Model_B,0.2,0.30000000000000004,503,0.24819706,0.4592445328031809
123,Model_B,0.30000000000000004,0.4,366,0.3496334,0.6584699453551912
123,Model_B,0.4,0.5,334,0.44795817,0.8173652694610778
123,Model_B,0.5,0.6000000000000001,337,0.55041903,0.9169139465875371
123,Model_B,0.6000000000000001,0.7000000000000001,383,0.64834976,0.9503916449086162
123,Model_B,0.7000000000000001,0.8,458,0.75315315,0.9934497816593887
123,Model_B,0.8,0.9,750,0.8534087,0.9986666666666667
123,Model_B,0.9,1.0,4094,0.9762604,1.0
2026,Model_A,0.0,0.1,2343,0.07245731,0.05847204438753734
2026,Model_A,0.1,0.2,2742,0.14267716,0.08096280087527352
2026,Model_A,0.2,0.30000000000000004,1146,0.24242531,0.1082024432809773
2026,Model_A,0.30000000000000004,0.4,496,0.3432909,0.16330645161290322
2026,Model_A,0.4,0.5,301,0.4462273,0.292358803986711
2026,Model_A,0.5,0.6000000000000001,149,0.5420491,0.33557046979865773
2026,Model_A,0.6000000000000001,0.7000000000000001,89,0.6450591,0.5168539325842697
2026,Model_A,0.7000000000000001,0.8,43,0.7378971,0.7209302325581395
2026,Model_A,0.8,0.9,24,0.8390074,0.4583333333333333
2026,Model_A,0.9,1.0,623,0.9949312,0.9887640449438202
2026,Model_B,0.0,0.1,162,0.08133866,0.14814814814814814
2026,Model_B,0.1,0.2,605,0.15230748,0.3421487603305785
2026,Model_B,0.2,0.30000000000000004,544,0.24706498,0.47058823529411764
2026,Model_B,0.30000000000000004,0.4,446,0.3475177,0.679372197309417
2026,Model_B,0.4,0.5,382,0.44988325,0.7827225130890052
2026,Model_B,0.5,0.6000000000000001,336,0.5495801,0.8988095238095238
2026,Model_B,0.6000000000000001,0.7000000000000001,409,0.6523784,0.9364303178484108
2026,Model_B,0.7000000000000001,0.8,501,0.7539765,0.9780439121756487
2026,Model_B,0.8,0.9,753,0.85617983,0.9960159362549801
2026,Model_B,0.9,1.0,3818,0.974322,1.0
