person,yaw,illumination,path,A_correct_seeds,A_mean_confidence,B_correct_seeds,B_mean_confidence,abs_yaw,A_always_correct,B_always_correct,A_always_wrong,B_always_wrong
person001,-90,2,E:\Thesis\Dataset\correct_angle_all\person001\left\90_degree_02.png,0,0.123982035,3,0.18164742,90,0,1,1,0
person001,-90,14,E:\Thesis\Dataset\correct_angle_all\person001\left\90_degree_14.png,0,0.108860455,3,0.27177894,90,0,1,1,0
person001,-75,2,E:\Thesis\Dataset\correct_angle_all\person001\left\75_degree_02.png,0,0.1262809,3,0.7215604,75,0,1,1,0
person001,-75,9,E:\Thesis\Dataset\correct_angle_all\person001\left\75_degree_09.png,0,0.15219498,3,0.6892335,75,0,1,1,0
person001,-75,18,E:\Thesis\Dataset\correct_angle_all\person001\left\75_degree_18.png,0,0.12212047,3,0.6991064,75,0,1,1,0
person001,-60,2,E:\Thesis\Dataset\correct_angle_all\person001\left\60_degree_02.png,0,0.12070128,3,0.96356446,60,0,1,1,0
person001,-60,9,E:\Thesis\Dataset\correct_angle_all\person001\left\60_degree_09.png,0,0.13567613,3,0.9244089,60,0,1,1,0
person001,-60,14,E:\Thesis\Dataset\correct_angle_all\person001\left\60_degree_14.png,0,0.12266951,3,0.9957526,60,0,1,1,0
person001,-60,18,E:\Thesis\Dataset\correct_angle_all\person001\left\60_degree_18.png,0,0.1386069,3,0.9844055,60,0,1,1,0
person001,-45,2,E:\Thesis\Dataset\correct_angle_all\person001\left\45_degree_02.png,0,0.15289952,3,0.62435395,45,0,1,1,0
person001,-45,9,E:\Thesis\Dataset\correct_angle_all\person001\left\45_degree_09.png,0,0.2678924,3,0.7308956,45,0,1,1,0
person001,-45,14,E:\Thesis\Dataset\correct_angle_all\person001\left\45_degree_14.png,0,0.22365637,3,0.7200527,45,0,1,1,0
person001,-45,18,E:\Thesis\Dataset\correct_angle_all\person001\left\45_degree_18.png,0,0.21471141,3,0.7976904,45,0,1,1,0
person001,-30,2,E:\Thesis\Dataset\correct_angle_all\person001\left\30_degree_02.png,0,0.19817035,3,0.9389587,30,0,1,1,0
person001,-30,9,E:\Thesis\Dataset\correct_angle_all\person001\left\30_degree_09.png,0,0.19442566,3,0.9936223,30,0,1,1,0
person001,-30,14,E:\Thesis\Dataset\correct_angle_all\person001\left\30_degree_14.png,0,0.12613899,3,0.9499076,30,0,1,1,0
person001,-30,18,E:\Thesis\Dataset\correct_angle_all\person001\left\30_degree_18.png,0,0.16877292,3,0.9953101,30,0,1,1,0
person001,-15,9,E:\Thesis\Dataset\correct_angle_all\person001\left\15_degree09.png,0,0.05335553,3,0.85563344,15,0,1,1,0
person001,-15,14,E:\Thesis\Dataset\correct_angle_all\person001\left\15_degree14.png,0,0.08063901,3,0.86692756,15,0,1,1,0
person001,15,2,E:\Thesis\Dataset\correct_angle_all\person001\right\15_degree02.png,0,0.07082781,3,0.7479582,15,0,1,1,0
person001,15,9,E:\Thesis\Dataset\correct_angle_all\person001\right\15_degree09.png,0,0.09489275,3,0.79873395,15,0,1,1,0
person001,15,14,E:\Thesis\Dataset\correct_angle_all\person001\right\15_degree14.png,0,0.087539375,3,0.64781135,15,0,1,1,0
person001,15,18,E:\Thesis\Dataset\correct_angle_all\person001\right\15_degree18.png,0,0.07542899,3,0.9474533,15,0,1,1,0
person001,30,2,E:\Thesis\Dataset\correct_angle_all\person001\right\30_degree02.png,0,0.10957834,3,0.97427917,30,0,1,1,0
person001,30,9,E:\Thesis\Dataset\correct_angle_all\person001\right\30_degree09.png,0,0.10547557,3,0.99642825,30,0,1,1,0
person001,30,14,E:\Thesis\Dataset\correct_angle_all\person001\right\30_degree14.png,0,0.09683943,3,0.81663734,30,0,1,1,0
person001,30,18,E:\Thesis\Dataset\correct_angle_all\person001\right\30_degree18.png,0,0.1215431,3,0.98941374,30,0,1,1,0
person001,45,2,E:\Thesis\Dataset\correct_angle_all\person001\right\45_degree02.png,0,0.1572104,3,0.44698325,45,0,1,1,0
person001,45,9,E:\Thesis\Dataset\correct_angle_all\person001\right\45_degree09.png,0,0.23922181,3,0.80260855,45,0,1,1,0
person001,45,18,E:\Thesis\Dataset\correct_angle_all\person001\right\45_degree18.png,0,0.24487604,3,0.8013392,45,0,1,1,0
person001,60,2,E:\Thesis\Dataset\correct_angle_all\person001\right\60_degree02.png,0,0.07946418,3,0.93437403,60,0,1,1,0
person001,60,9,E:\Thesis\Dataset\correct_angle_all\person001\right\60_degree09.png,0,0.12590691,3,0.9981284,60,0,1,1,0
person001,60,14,E:\Thesis\Dataset\correct_angle_all\person001\right\60_degree14.png,0,0.096575975,3,0.94066507,60,0,1,1,0
person001,60,18,E:\Thesis\Dataset\correct_angle_all\person001\right\60_degree18.png,0,0.07805127,3,0.99817055,60,0,1,1,0
person001,75,9,E:\Thesis\Dataset\correct_angle_all\person001\right\75_degree09.png,0,0.10665234,3,0.9298081,75,0,1,1,0
person001,75,14,E:\Thesis\Dataset\correct_angle_all\person001\right\75_degree14.png,0,0.13197069,3,0.536306,75,0,1,1,0
person001,75,18,E:\Thesis\Dataset\correct_angle_all\person001\right\75_degree18.png,0,0.0930894,3,0.9234181,75,0,1,1,0
person001,90,9,E:\Thesis\Dataset\correct_angle_all\person001\right\90_degree09.png,0,0.066538684,3,0.58768874,90,0,1,1,0
person001,90,14,E:\Thesis\Dataset\correct_angle_all\person001\right\90_degree14.png,0,0.15600397,3,0.4212569,90,0,1,1,0
person001,90,18,E:\Thesis\Dataset\correct_angle_all\person001\right\90_degree18.png,0,0.09695235,3,0.5058999,90,0,1,1,0
person002,-60,2,E:\Thesis\Dataset\correct_angle_all\person002\left\60_degree_02.png,0,0.0658274,3,0.9812457,60,0,1,1,0
person002,-60,9,E:\Thesis\Dataset\correct_angle_all\person002\left\60_degree_09.png,0,0.087176055,3,0.9139158,60,0,1,1,0
person002,-60,14,E:\Thesis\Dataset\correct_angle_all\person002\left\60_degree_14.png,0,0.08642784,3,0.90799284,60,0,1,1,0
person002,-60,18,E:\Thesis\Dataset\correct_angle_all\person002\left\60_degree_18.png,0,0.1035034,3,0.92251587,60,0,1,1,0
person002,-45,2,E:\Thesis\Dataset\correct_angle_all\person002\left\45_degree_02.png,0,0.27657536,3,0.674865,45,0,1,1,0
person002,-45,9,E:\Thesis\Dataset\correct_angle_all\person002\left\45_degree_09.png,0,0.2842188,3,0.70985126,45,0,1,1,0
person002,-45,14,E:\Thesis\Dataset\correct_angle_all\person002\left\45_degree_14.png,0,0.19339316,3,0.7571319,45,0,1,1,0
person002,-45,18,E:\Thesis\Dataset\correct_angle_all\person002\left\45_degree_18.png,0,0.22885132,3,0.8788728,45,0,1,1,0
person003,-75,9,E:\Thesis\Dataset\correct_angle_all\person003\left\75_degree_09.png,0,0.21882625,3,0.688741,75,0,1,1,0
person003,-60,14,E:\Thesis\Dataset\correct_angle_all\person003\left\60_degree_14.png,0,0.08139985,3,0.9487838,60,0,1,1,0
person003,-45,2,E:\Thesis\Dataset\correct_angle_all\person003\left\45_degree_02.png,0,0.18235795,3,0.97916627,45,0,1,1,0
person003,-45,18,E:\Thesis\Dataset\correct_angle_all\person003\left\45_degree_18.png,0,0.17415233,3,0.9545967,45,0,1,1,0
person003,-30,2,E:\Thesis\Dataset\correct_angle_all\person003\left\30_degree_02.png,0,0.43950617,3,0.9972426,30,0,1,1,0
person003,-30,14,E:\Thesis\Dataset\correct_angle_all\person003\left\30_degree_14.png,0,0.4262322,3,0.96887845,30,0,1,1,0
person003,-30,18,E:\Thesis\Dataset\correct_angle_all\person003\left\30_degree_18.png,0,0.3476725,3,0.99695116,30,0,1,1,0
person003,30,2,E:\Thesis\Dataset\correct_angle_all\person003\right\30_degree02.png,0,0.22871251,3,0.9907467,30,0,1,1,0
person003,30,14,E:\Thesis\Dataset\correct_angle_all\person003\right\30_degree14.png,0,0.20530397,3,0.99037486,30,0,1,1,0
person003,45,2,E:\Thesis\Dataset\correct_angle_all\person003\right\45_degree02.png,0,0.26030514,3,0.9222438,45,0,1,1,0
person003,45,9,E:\Thesis\Dataset\correct_angle_all\person003\right\45_degree09.png,0,0.24085993,3,0.89956737,45,0,1,1,0
person003,45,14,E:\Thesis\Dataset\correct_angle_all\person003\right\45_degree14.png,0,0.26072112,3,0.94495034,45,0,1,1,0
person003,45,18,E:\Thesis\Dataset\correct_angle_all\person003\right\45_degree18.png,0,0.23878099,3,0.9335044,45,0,1,1,0
person003,60,2,E:\Thesis\Dataset\correct_angle_all\person003\right\60_degree02.png,0,0.24374491,3,0.9946439,60,0,1,1,0
person003,60,9,E:\Thesis\Dataset\correct_angle_all\person003\right\60_degree09.png,0,0.13701062,3,0.9683743,60,0,1,1,0
person003,60,14,E:\Thesis\Dataset\correct_angle_all\person003\right\60_degree14.png,0,0.24887533,3,0.9983898,60,0,1,1,0
person003,60,18,E:\Thesis\Dataset\correct_angle_all\person003\right\60_degree18.png,0,0.13997765,3,0.9938094,60,0,1,1,0
person003,75,9,E:\Thesis\Dataset\correct_angle_all\person003\right\75_degree09.png,0,0.09355631,3,0.6767404,75,0,1,1,0
person003,75,14,E:\Thesis\Dataset\correct_angle_all\person003\right\75_degree14.png,0,0.17601772,3,0.8607952,75,0,1,1,0
person003,75,18,E:\Thesis\Dataset\correct_angle_all\person003\right\75_degree18.png,0,0.09979317,3,0.78255653,75,0,1,1,0
person004,-90,14,E:\Thesis\Dataset\correct_angle_all\person004\left\90_degree_14.png,0,0.12890549,3,0.23834018,90,0,1,1,0
person004,-75,2,E:\Thesis\Dataset\correct_angle_all\person004\left\75_degree_02.png,0,0.17493634,3,0.27854687,75,0,1,1,0
person004,-75,9,E:\Thesis\Dataset\correct_angle_all\person004\left\75_degree_09.png,0,0.13952334,3,0.46515808,75,0,1,1,0
person004,-75,18,E:\Thesis\Dataset\correct_angle_all\person004\left\75_degree_18.png,0,0.15373081,3,0.42217183,75,0,1,1,0
person004,-60,2,E:\Thesis\Dataset\correct_angle_all\person004\left\60_degree_02.png,0,0.14812613,3,0.96489286,60,0,1,1,0
person004,-60,9,E:\Thesis\Dataset\correct_angle_all\person004\left\60_degree_09.png,0,0.084642984,3,0.9882377,60,0,1,1,0
person004,-60,14,E:\Thesis\Dataset\correct_angle_all\person004\left\60_degree_14.png,0,0.13656239,3,0.9803858,60,0,1,1,0
person004,-60,18,E:\Thesis\Dataset\correct_angle_all\person004\left\60_degree_18.png,0,0.15180607,3,0.99087745,60,0,1,1,0
person004,-45,2,E:\Thesis\Dataset\correct_angle_all\person004\left\45_degree_02.png,0,0.10378313,3,0.9347996,45,0,1,1,0
person004,-45,9,E:\Thesis\Dataset\correct_angle_all\person004\left\45_degree_09.png,0,0.09753061,3,0.966904,45,0,1,1,0
person004,-45,14,E:\Thesis\Dataset\correct_angle_all\person004\left\45_degree_14.png,0,0.08158837,3,0.9078594,45,0,1,1,0
person004,-45,18,E:\Thesis\Dataset\correct_angle_all\person004\left\45_degree_18.png,0,0.09379748,3,0.98525494,45,0,1,1,0
person004,-30,2,E:\Thesis\Dataset\correct_angle_all\person004\left\30_degree_02.png,0,0.17186081,3,0.9913834,30,0,1,1,0
person004,-30,9,E:\Thesis\Dataset\correct_angle_all\person004\left\30_degree_09.png,0,0.12089062,3,0.9957702,30,0,1,1,0
person004,-30,14,E:\Thesis\Dataset\correct_angle_all\person004\left\30_degree_14.png,0,0.092717685,3,0.98749286,30,0,1,1,0
person004,-30,18,E:\Thesis\Dataset\correct_angle_all\person004\left\30_degree_18.png,0,0.16564192,3,0.99737376,30,0,1,1,0
person004,-15,2,E:\Thesis\Dataset\correct_angle_all\person004\left\15_degree02.png,0,0.06304602,3,0.86826485,15,0,1,1,0
person004,15,9,E:\Thesis\Dataset\correct_angle_all\person004\right\15_degree09.png,0,0.1084312,3,0.49032536,15,0,1,1,0
person004,30,2,E:\Thesis\Dataset\correct_angle_all\person004\right\30_degree02.png,0,0.11509564,3,0.97476155,30,0,1,1,0
person004,30,9,E:\Thesis\Dataset\correct_angle_all\person004\right\30_degree09.png,0,0.12376219,3,0.9989638,30,0,1,1,0
person004,30,14,E:\Thesis\Dataset\correct_angle_all\person004\right\30_degree14.png,0,0.16643612,3,0.96165633,30,0,1,1,0
person004,30,18,E:\Thesis\Dataset\correct_angle_all\person004\right\30_degree18.png,0,0.15635146,3,0.99209076,30,0,1,1,0
person004,45,2,E:\Thesis\Dataset\correct_angle_all\person004\right\45_degree02.png,0,0.15739013,3,0.53738195,45,0,1,1,0
person004,45,9,E:\Thesis\Dataset\correct_angle_all\person004\right\45_degree09.png,0,0.21001618,3,0.93467563,45,0,1,1,0
person004,45,14,E:\Thesis\Dataset\correct_angle_all\person004\right\45_degree14.png,0,0.1760772,3,0.62969446,45,0,1,1,0
person004,45,18,E:\Thesis\Dataset\correct_angle_all\person004\right\45_degree18.png,0,0.16455464,3,0.76530415,45,0,1,1,0
person004,60,2,E:\Thesis\Dataset\correct_angle_all\person004\right\60_degree02.png,0,0.059542164,3,0.98509985,60,0,1,1,0
person004,75,9,E:\Thesis\Dataset\correct_angle_all\person004\right\75_degree09.png,0,0.112224825,3,0.4699591,75,0,1,1,0
person004,90,2,E:\Thesis\Dataset\correct_angle_all\person004\right\90_degree02.png,0,0.07645238,3,0.35425594,90,0,1,1,0
person005,-75,2,E:\Thesis\Dataset\correct_angle_all\person005\left\75_degree_02.png,0,0.2094586,3,0.5473401,75,0,1,1,0
person005,-75,9,E:\Thesis\Dataset\correct_angle_all\person005\left\75_degree_09.png,0,0.2734249,3,0.5267893,75,0,1,1,0
person005,-60,2,E:\Thesis\Dataset\correct_angle_all\person005\left\60_degree_02.png,0,0.15857828,3,0.9852104,60,0,1,1,0
person005,-60,9,E:\Thesis\Dataset\correct_angle_all\person005\left\60_degree_09.png,0,0.17505747,3,0.98519236,60,0,1,1,0
person005,-60,14,E:\Thesis\Dataset\correct_angle_all\person005\left\60_degree_14.png,0,0.1833617,3,0.78684145,60,0,1,1,0
person005,-60,18,E:\Thesis\Dataset\correct_angle_all\person005\left\60_degree_18.png,0,0.17794596,3,0.95164317,60,0,1,1,0
person005,-45,2,E:\Thesis\Dataset\correct_angle_all\person005\left\45_degree_02.png,0,0.16091304,3,0.87858486,45,0,1,1,0
