person,yaw,illumination,path,A_correct_seeds,A_mean_confidence,B_correct_seeds,B_mean_confidence,abs_yaw,A_always_correct,B_always_correct,A_always_wrong,B_always_wrong
person001,75,2,E:\Thesis\Dataset\correct_angle_all\person001\right\75_degree02.png,0,0.138992,0,0.21117651,75,0,0,1,1
person002,-90,2,E:\Thesis\Dataset\correct_angle_all\person002\left\90_degree_02.png,0,0.20898183,0,0.116910525,90,0,0,1,1
person002,-90,9,E:\Thesis\Dataset\correct_angle_all\person002\left\90_degree_09.png,0,0.16893335,0,0.13261174,90,0,0,1,1
person002,-90,14,E:\Thesis\Dataset\correct_angle_all\person002\left\90_degree_14.png,0,0.28600338,0,0.10816171,90,0,0,1,1
person002,-75,9,E:\Thesis\Dataset\correct_angle_all\person002\left\75_degree_09.png,0,0.16389851,0,0.23336928,75,0,0,1,1
person002,-75,14,E:\Thesis\Dataset\correct_angle_all\person002\left\75_degree_14.png,0,0.171282,0,0.28844407,75,0,0,1,1
person002,75,2,E:\Thesis\Dataset\correct_angle_all\person002\right\75_degree02.png,2,0.120816946,0,0.14541547,75,0,0,0,1
person002,90,2,E:\Thesis\Dataset\correct_angle_all\person002\right\90_degree02.png,2,0.08567382,0,0.17397825,90,0,0,0,1
person002,90,9,E:\Thesis\Dataset\correct_angle_all\person002\right\90_degree09.png,2,0.14121892,0,0.2477148,90,0,0,0,1
person002,90,18,E:\Thesis\Dataset\correct_angle_all\person002\right\90_degree18.png,2,0.11909658,0,0.26233453,90,0,0,0,1
person003,75,2,E:\Thesis\Dataset\correct_angle_all\person003\right\75_degree02.png,0,0.12438186,0,0.46390137,75,0,0,1,1
person004,-75,14,E:\Thesis\Dataset\correct_angle_all\person004\left\75_degree_14.png,0,0.13975492,0,0.18302195,75,0,0,1,1
person004,75,2,E:\Thesis\Dataset\correct_angle_all\person004\right\75_degree02.png,0,0.16932093,0,0.29704574,75,0,0,1,1
person005,-90,9,E:\Thesis\Dataset\correct_angle_all\person005\left\90_degree_09.png,0,0.14516126,0,0.12211907,90,0,0,1,1
person005,-90,14,E:\Thesis\Dataset\correct_angle_all\person005\left\90_degree_14.png,0,0.3190212,0,0.08827507,90,0,0,1,1
person005,-90,18,E:\Thesis\Dataset\correct_angle_all\person005\left\90_degree_18.png,0,0.17514066,0,0.12604989,90,0,0,1,1
person005,-75,14,E:\Thesis\Dataset\correct_angle_all\person005\left\75_degree_14.png,0,0.12732954,0,0.17105223,75,0,0,1,1
person005,75,2,E:\Thesis\Dataset\correct_angle_all\person005\right\75_degree02.png,0,0.12532634,0,0.125239,75,0,0,1,1
person005,90,2,E:\Thesis\Dataset\correct_angle_all\person005\right\90_degree02.png,0,0.06544524,0,0.32509828,90,0,0,1,1
person005,90,9,E:\Thesis\Dataset\correct_angle_all\person005\right\90_degree09.png,0,0.076034926,0,0.3646916,90,0,0,1,1
person005,90,18,E:\Thesis\Dataset\correct_angle_all\person005\right\90_degree18.png,0,0.070067026,0,0.2813387,90,0,0,1,1
person006,75,2,E:\Thesis\Dataset\correct_angle_all\person006\right\75_degree02.png,0,0.21242626,0,0.20811647,75,0,0,1,1
person006,90,9,E:\Thesis\Dataset\correct_angle_all\person006\right\90_degree09.png,0,0.14614695,0,0.16369727,90,0,0,1,1
person006,90,18,E:\Thesis\Dataset\correct_angle_all\person006\right\90_degree18.png,0,0.11891711,0,0.1757272,90,0,0,1,1
person007,-90,2,E:\Thesis\Dataset\correct_angle_all\person007\left\90_degree_02.png,0,0.2124237,0,0.16201226,90,0,0,1,1
person007,-90,14,E:\Thesis\Dataset\correct_angle_all\person007\left\90_degree_14.png,0,0.2433027,0,0.23935367,90,0,0,1,1
person007,-90,18,E:\Thesis\Dataset\correct_angle_all\person007\left\90_degree_18.png,0,0.1596809,0,0.17201746,90,0,0,1,1
person007,-75,14,E:\Thesis\Dataset\correct_angle_all\person007\left\75_degree_14.png,0,0.091714405,0,0.4755529,75,0,0,1,1
person007,75,2,E:\Thesis\Dataset\correct_angle_all\person007\right\75_degree02.png,0,0.115318,0,0.13875045,75,0,0,1,1
person007,90,2,E:\Thesis\Dataset\correct_angle_all\person007\right\90_degree02.png,0,0.1603702,0,0.23070149,90,0,0,1,1
person009,-90,2,E:\Thesis\Dataset\correct_angle_all\person009\left\90_degree_02.png,0,0.07292775,0,0.117123514,90,0,0,1,1
person009,-90,9,E:\Thesis\Dataset\correct_angle_all\person009\left\90_degree_09.png,0,0.09114674,0,0.3744917,90,0,0,1,1
