model,abs_yaw,correct,n_images,mean_confidence,median_confidence
Model_A,0,0,0,,
Model_A,0,1,612,0.9968792982155981,0.9978132247924806
Model_A,15,0,704,0.1412284466945989,0.1113711632788181
Model_A,15,1,520,0.37313592634521997,0.3123957216739654
Model_A,30,0,993,0.16940744214832842,0.131790891289711
Model_A,30,1,231,0.24394919394285647,0.1941714882850647
Model_A,45,0,1112,0.15709686219665425,0.12774322181940076
Model_A,45,1,112,0.24744647987453,0.1842267140746116
Model_A,60,0,1156,0.1138861287646253,0.08649557456374166
Model_A,60,1,68,0.15322499185362282,0.1106539778411388
Model_A,75,0,1191,0.1100694111350526,0.0934957861900329
Model_A,75,1,33,0.18293988207976022,0.1024956628680229
Model_A,90,0,1190,0.09110212335754338,0.0736828632652759
Model_A,90,1,34,0.12917881217949526,0.0988531224429607
Model_B,0,0,0,,
Model_B,0,1,612,0.9940802287432103,0.9971793293952942
Model_B,15,0,33,0.46282275111386273,0.417679876089096
Model_B,15,1,1191,0.836465404488578,0.9236221313476562
Model_B,30,0,0,,
Model_B,30,1,1224,0.975246482279176,0.9920048713684082
Model_B,45,0,76,0.3233615724663985,0.28826138377189636
Model_B,45,1,1148,0.779814169381969,0.8588099181652069
Model_B,60,0,2,0.2156694009900093,0.2156694009900093
Model_B,60,1,1222,0.9574294163435454,0.9872972965240479
Model_B,75,0,364,0.23134841014641327,0.19583812355995173
Model_B,75,1,860,0.6473355742301359,0.7070362865924835
Model_B,90,0,590,0.23313025195719833,0.19811656326055524
Model_B,90,1,634,0.4633720083990684,0.4282625615596771
