yaw,n_images,model_A_error_rate,model_B_error_rate,model_A_mean_confidence,model_B_mean_confidence
-90,612,0.9754901960784313,0.5343137254901961,0.09458234929023124,0.33561145805212017
-75,612,0.9640522875816994,0.2549019607843137,0.09412057812209998,0.5333990534170975
-60,612,0.9444444444444444,0.0016339869281045694,0.09230422848543403,0.957058972149503
-45,612,0.8905228758169934,0.0490196078431373,0.12321240283865355,0.7687628955695949
-30,612,0.7745098039215687,0.0,0.147380418351127,0.9769909308821547
-15,612,0.511437908496732,0.03104575163398693,0.23010201721750442,0.8462930103289146
0,612,0.0,0.0,0.9968792982155981,0.9940802287432103
15,612,0.6388888888888888,0.022875816993464082,0.2494004471166656,0.8064904006721537
30,612,0.8480392156862745,0.0,0.21957032324052325,0.9735020336761974
45,612,0.9264705882352942,0.07516339869281041,0.20751589211008323,0.7341817873682267
60,612,0.9444444444444444,0.0016339869281045694,0.13983901383148295,0.955375808199831
75,612,0.9820261437908496,0.33986928104575165,0.12994753424796496,0.5138548928757314
90,612,0.9689542483660131,0.4297385620915033,0.08973726902607507,0.3691674667514033
