person,yaw,illumination,path,A_predicted_person,A_predicted_label,A_correct,A_confidence,A_abs_yaw,B_predicted_person,B_predicted_label,B_correct,B_confidence,B_abs_yaw,abs_yaw,outcome
person035,-90,2,E:\Thesis\Dataset\correct_angle_all\person035\left\90_degree_02.png,person003,2,0,0.3337260484695434,90,person035,34,1,0.993354558944702,90,90,A wrong / B right
person078,-75,9,E:\Thesis\Dataset\correct_angle_all\person078\left\75_degree_09.png,person109,108,0,0.0558035522699356,75,person078,77,1,0.9974203109741212,75,75,A wrong / B right
person138,60,18,E:\Thesis\Dataset\correct_angle_all\person138\right\60_degree18.png,person002,1,0,0.4707992076873779,60,person138,137,1,0.9996278285980223,60,60,A wrong / B right
person070,-45,14,E:\Thesis\Dataset\correct_angle_all\person070\left\45_degree_14.png,person092,91,0,0.0924456045031547,45,person070,69,1,0.9985185265541076,45,45,A wrong / B right
person004,30,9,E:\Thesis\Dataset\correct_angle_all\person004\right\30_degree09.png,person047,46,0,0.16579370200634,30,person004,3,1,0.9995637536048888,30,30,A wrong / B right
person077,15,18,E:\Thesis\Dataset\correct_angle_all\person077\right\15_degree18.png,person058,57,0,0.222614511847496,15,person077,76,1,0.9973424077033995,15,15,A wrong / B right
person008,90,2,E:\Thesis\Dataset\correct_angle_all\person008\right\90_degree02.png,person035,34,0,0.0778185054659843,90,person008,7,1,0.9711527824401855,90,90,A wrong / B right
person020,-90,2,E:\Thesis\Dataset\correct_angle_all\person020\left\90_degree_02.png,person091,90,0,0.0672632753849029,90,person020,19,1,0.9680982232093812,90,90,A wrong / B right
person096,90,9,E:\Thesis\Dataset\correct_angle_all\person096\right\90_degree09.png,person002,1,0,0.098206803202629,90,person096,95,1,0.9613018035888672,90,90,A wrong / B right
person095,90,14,E:\Thesis\Dataset\correct_angle_all\person095\right\90_degree14.png,person120,119,0,0.0887820944190025,90,person095,94,1,0.9549661874771118,90,90,A wrong / B right
person055,90,9,E:\Thesis\Dataset\correct_angle_all\person055\right\90_degree09.png,person062,61,0,0.3538589179515838,90,person055,54,1,0.9425721168518066,90,90,A wrong / B right
person036,-90,9,E:\Thesis\Dataset\correct_angle_all\person036\left\90_degree_09.png,person018,17,0,0.0702339634299278,90,person036,35,1,0.935774266719818,90,90,A wrong / B right
