person,yaw,illumination,path,A_predicted_person,A_predicted_label,A_correct,A_confidence,A_abs_yaw,B_predicted_person,B_predicted_label,B_correct,B_confidence,B_abs_yaw,abs_yaw,outcome
person111,45,18,E:\Thesis\Dataset\correct_angle_all\person111\right\45_degree18.png,person002,1,0,0.6980487704277039,45,person111,110,1,0.949992537498474,45,45,A wrong / B right
person084,30,9,E:\Thesis\Dataset\correct_angle_all\person084\right\30_degree09.png,person002,1,0,0.6730749011039734,30,person084,83,1,0.9951714873313904,30,30,A wrong / B right
person121,30,9,E:\Thesis\Dataset\correct_angle_all\person121\right\30_degree09.png,person002,1,0,0.6670058965682983,30,person121,120,1,0.989832639694214,30,30,A wrong / B right
person033,15,18,E:\Thesis\Dataset\correct_angle_all\person033\right\15_degree18.png,person002,1,0,0.644717812538147,15,person033,32,1,0.9484473466873168,15,15,A wrong / B right
person083,15,14,E:\Thesis\Dataset\correct_angle_all\person083\right\15_degree14.png,person047,46,0,0.6441673040390015,15,person083,82,1,0.5903910398483276,15,15,A wrong / B right
person073,30,18,E:\Thesis\Dataset\correct_angle_all\person073\right\30_degree18.png,person002,1,0,0.6410209536552429,30,person073,72,1,0.994795858860016,30,30,A wrong / B right
person039,30,18,E:\Thesis\Dataset\correct_angle_all\person039\right\30_degree18.png,person002,1,0,0.6312243938446045,30,person039,38,1,0.9939687252044678,30,30,A wrong / B right
person033,30,2,E:\Thesis\Dataset\correct_angle_all\person033\right\30_degree02.png,person002,1,0,0.6143832206726074,30,person033,32,1,0.9808183908462524,30,30,A wrong / B right
person081,45,18,E:\Thesis\Dataset\correct_angle_all\person081\right\45_degree18.png,person002,1,0,0.6065186262130737,45,person081,80,1,0.9491587281227112,45,45,A wrong / B right
person073,30,9,E:\Thesis\Dataset\correct_angle_all\person073\right\30_degree09.png,person002,1,0,0.6021318435668945,30,person073,72,1,0.9924236536026,30,30,A wrong / B right
person049,30,9,E:\Thesis\Dataset\correct_angle_all\person049\right\30_degree09.png,person002,1,0,0.6015654802322388,30,person049,48,1,0.9991881251335144,30,30,A wrong / B right
person101,15,14,E:\Thesis\Dataset\correct_angle_all\person101\right\15_degree14.png,person047,46,0,0.5961111187934875,15,person104,103,0,0.5742315649986267,15,15,Both wrong
person121,45,9,E:\Thesis\Dataset\correct_angle_all\person121\right\45_degree09.png,person002,1,0,0.5931634902954102,45,person121,120,1,0.5854285359382629,45,45,A wrong / B right
person004,15,14,E:\Thesis\Dataset\correct_angle_all\person004\right\15_degree14.png,person047,46,0,0.5885215997695923,15,person004,3,1,0.3931590318679809,15,15,A wrong / B right
person111,45,14,E:\Thesis\Dataset\correct_angle_all\person111\right\45_degree14.png,person002,1,0,0.5862659811973572,45,person111,110,1,0.9377400279045104,45,45,A wrong / B right
person033,30,18,E:\Thesis\Dataset\correct_angle_all\person033\right\30_degree18.png,person002,1,0,0.5856197476387024,30,person033,32,1,0.9883318543434144,30,30,A wrong / B right
person061,60,2,E:\Thesis\Dataset\correct_angle_all\person061\right\60_degree02.png,person079,78,0,0.5786209106445312,60,person061,60,1,0.9984941482543944,60,60,A wrong / B right
person007,-30,18,E:\Thesis\Dataset\correct_angle_all\person007\left\30_degree_18.png,person126,125,0,0.5764171481132507,30,person007,6,1,0.9974568486213684,30,30,A wrong / B right
person081,30,14,E:\Thesis\Dataset\correct_angle_all\person081\right\30_degree14.png,person002,1,0,0.5739262104034424,30,person081,80,1,0.9511184692382812,30,30,A wrong / B right
person138,15,14,E:\Thesis\Dataset\correct_angle_all\person138\right\15_degree14.png,person047,46,0,0.5733578205108643,15,person138,137,1,0.3837423324584961,15,15,A wrong / B right
person105,30,9,E:\Thesis\Dataset\correct_angle_all\person105\right\30_degree09.png,person002,1,0,0.5685936212539673,30,person105,104,1,0.9981091022491456,30,30,A wrong / B right
person085,45,18,E:\Thesis\Dataset\correct_angle_all\person085\right\45_degree18.png,person002,1,0,0.5679183006286621,45,person085,84,1,0.2414005994796753,45,45,A wrong / B right
person084,30,18,E:\Thesis\Dataset\correct_angle_all\person084\right\30_degree18.png,person002,1,0,0.5666531920433044,30,person084,83,1,0.9951037168502808,30,30,A wrong / B right
person149,30,18,E:\Thesis\Dataset\correct_angle_all\person149\right\30_degree18.png,person002,1,0,0.5652178525924683,30,person149,148,1,0.9948068261146544,30,30,A wrong / B right
person033,30,9,E:\Thesis\Dataset\correct_angle_all\person033\right\30_degree09.png,person002,1,0,0.5629103183746338,30,person033,32,1,0.9746107459068298,30,30,A wrong / B right
person084,60,9,E:\Thesis\Dataset\correct_angle_all\person084\right\60_degree09.png,person002,1,0,0.5627972483634949,60,person084,83,1,0.9977658987045288,60,60,A wrong / B right
person007,-30,9,E:\Thesis\Dataset\correct_angle_all\person007\left\30_degree_09.png,person126,125,0,0.5567595958709717,30,person007,6,1,0.9989983439445496,30,30,A wrong / B right
person144,15,14,E:\Thesis\Dataset\correct_angle_all\person144\right\15_degree14.png,person084,83,0,0.5546339154243469,15,person144,143,1,0.9376584887504578,15,15,A wrong / B right
person081,45,9,E:\Thesis\Dataset\correct_angle_all\person081\right\45_degree09.png,person002,1,0,0.5535922050476074,45,person081,80,1,0.7715349793434143,45,45,A wrong / B right
person149,30,9,E:\Thesis\Dataset\correct_angle_all\person149\right\30_degree09.png,person002,1,0,0.5517937541007996,30,person149,148,1,0.9956169128417968,30,30,A wrong / B right
person084,15,9,E:\Thesis\Dataset\correct_angle_all\person084\right\15_degree09.png,person002,1,0,0.5504584908485413,15,person084,83,1,0.8968541622161865,15,15,A wrong / B right
person059,45,18,E:\Thesis\Dataset\correct_angle_all\person059\right\45_degree18.png,person002,1,0,0.5450592637062073,45,person059,58,1,0.5643978714942932,45,45,A wrong / B right
person149,30,14,E:\Thesis\Dataset\correct_angle_all\person149\right\30_degree14.png,person002,1,0,0.543738067150116,30,person149,148,1,0.9957523345947266,30,30,A wrong / B right
person033,45,18,E:\Thesis\Dataset\correct_angle_all\person033\right\45_degree18.png,person002,1,0,0.5429012179374695,45,person033,32,1,0.9658975601196288,45,45,A wrong / B right
person111,30,18,E:\Thesis\Dataset\correct_angle_all\person111\right\30_degree18.png,person002,1,0,0.5396097898483276,30,person111,110,1,0.9929357171058656,30,30,A wrong / B right
person111,30,14,E:\Thesis\Dataset\correct_angle_all\person111\right\30_degree14.png,person002,1,0,0.5339421629905701,30,person111,110,1,0.9945330619812012,30,30,A wrong / B right
person135,30,14,E:\Thesis\Dataset\correct_angle_all\person135\right\30_degree14.png,person047,46,0,0.5339233875274658,30,person135,134,1,0.9979275465011596,30,30,A wrong / B right
person084,45,18,E:\Thesis\Dataset\correct_angle_all\person084\right\45_degree18.png,person002,1,0,0.5332818031311035,45,person084,83,1,0.9621520042419434,45,45,A wrong / B right
person003,90,2,E:\Thesis\Dataset\correct_angle_all\person003\right\90_degree02.png,person035,34,0,0.5325061082839966,90,person035,34,0,0.3132753074169159,90,90,Both wrong
person039,30,14,E:\Thesis\Dataset\correct_angle_all\person039\right\30_degree14.png,person002,1,0,0.5318723917007446,30,person039,38,1,0.9678694605827332,30,30,A wrong / B right
person084,60,18,E:\Thesis\Dataset\correct_angle_all\person084\right\60_degree18.png,person002,1,0,0.5285691022872925,60,person084,83,1,0.9940038323402404,60,60,A wrong / B right
