person,A_predicted_person,count,mean_confidence,mean_abs_yaw
person015,person058,25,0.21448969736695286,54.6
person084,person002,23,0.34242471420894494,50.869565217391305
person067,person002,23,0.2476414315726446,53.47826086956522
person016,person003,23,0.19909761133401285,71.73913043478261
person148,person002,23,0.1926400222532127,54.130434782608695
person137,person002,23,0.16744195248769672,53.47826086956522
person077,person058,22,0.2034236019985242,55.90909090909091
person124,person002,21,0.27254951656574294,55.714285714285715
person073,person002,21,0.2415637469717434,52.142857142857146
person059,person002,20,0.2572056822478771,60.0
person081,person002,20,0.2556495105847716,45.75
person006,person062,20,0.2036686953157186,55.5
person152,person002,20,0.1562490131705999,55.5
person033,person002,19,0.37008049535123927,43.421052631578945
person121,person002,19,0.24878345037761482,57.63157894736842
person045,person058,19,0.20177884693992762,40.26315789473684
person005,person002,18,0.21483160348402128,43.333333333333336
person108,person002,18,0.1984922952122158,43.333333333333336
person049,person002,17,0.3058455906370106,60.88235294117647
person047,person002,17,0.27756493976887536,52.94117647058823
person027,person002,17,0.21353457911926152,47.64705882352941
person023,person002,17,0.20507869606508924,59.11764705882353
person041,person002,17,0.19379710318411092,43.23529411764706
person001,person002,17,0.14604330040952734,50.294117647058826
person039,person002,16,0.26051312079653144,52.5
person050,person002,16,0.23827630188316104,51.5625
person149,person002,16,0.2362215674947947,46.875
person035,person003,16,0.22646196559071538,58.125
person022,person002,16,0.19148215698078272,63.75
person057,person002,16,0.14319759001955387,63.75
person116,person058,15,0.31360055754582083,36.0
person029,person002,15,0.28785960376262665,37.0
person113,person002,15,0.23338458587725955,61.0
person135,person047,15,0.21433728684981662,45.0
person012,person079,15,0.21211569905281064,63.0
person030,person002,15,0.18940705657005308,59.0
person009,person003,15,0.186154660085837,70.0
person101,person116,15,0.1275255297621091,59.0
person011,person116,15,0.11170296495159462,60.0
person051,person002,14,0.3228519383285727,35.357142857142854
person138,person002,14,0.30051554473383085,54.642857142857146
person114,person003,14,0.2733716815710067,67.5
person116,person002,14,0.23301992911313257,66.42857142857143
person021,person002,14,0.23000896455986158,63.214285714285715
person127,person002,14,0.20615988118307924,68.57142857142857
person143,person002,14,0.18522800771253448,56.785714285714285
person070,person003,14,0.16538963892630165,78.21428571428571
person139,person002,14,0.15599749210689742,58.92857142857143
person120,person035,14,0.1136683489062956,75.0
person007,person096,14,0.09962266044957292,71.78571428571429
person112,person035,14,0.09341912716627117,73.92857142857143
person024,person062,14,0.09048606934291972,57.857142857142854
person045,person002,13,0.24781956122471732,69.23076923076923
person144,person058,13,0.2112660963947956,43.84615384615385
person102,person139,13,0.20459395016615203,26.53846153846154
person136,person002,13,0.2012546721559304,57.69230769230769
person100,person002,13,0.1915221919233982,46.15384615384615
person096,person002,13,0.17745019380862892,69.23076923076923
person150,person002,13,0.17485184623644898,70.38461538461539
person134,person062,13,0.17401016245667747,61.15384615384615
person123,person003,13,0.17285074236301273,65.76923076923077
person026,person002,13,0.1694522053003311,62.30769230769231
person102,person002,13,0.16478315970072377,72.6923076923077
person101,person002,13,0.13645084173633498,72.6923076923077
person063,person003,13,0.11187290629515277,64.61538461538461
person054,person114,13,0.10109359771013257,45.0
person014,person068,13,0.08179002942947236,53.07692307692308
person003,person035,12,0.2840312620004018,75.0
person146,person151,12,0.2515879447261492,30.0
person144,person002,12,0.23203178246815995,70.0
person105,person002,12,0.22657021600753066,51.25
person132,person002,12,0.18538099092741803,36.25
person072,person002,12,0.15990230192740754,65.0
person094,person058,12,0.0942845623940229,50.0
person083,person047,11,0.33728902583772485,28.636363636363637
person023,person058,11,0.2511660063808614,39.54545454545455
person061,person079,11,0.2415509284897284,75.0
person048,person079,11,0.23658568412065503,75.0
person091,person002,11,0.2082072084938938,47.72727272727273
person031,person002,11,0.18182250857353208,49.09090909090909
person027,person151,11,0.17444504932923743,28.636363636363637
person142,person062,11,0.16728008504618294,75.0
person093,person002,11,0.14329163459214292,62.72727272727273
person098,person002,11,0.13942254707217214,51.81818181818182
person140,person002,11,0.13834499161351807,57.27272727272727
person080,person151,11,0.12447100674564182,28.636363636363637
person117,person068,11,0.11784256351265036,50.45454545454545
person074,person014,11,0.1129650690338828,42.27272727272727
person109,person119,11,0.10468914732336994,69.54545454545455
person081,person126,11,0.08563024686141443,55.90909090909091
person071,person116,11,0.07102050869302312,65.45454545454545
person119,person058,10,0.25948056578636164,66.0
person042,person079,10,0.220233192294836,37.5
person126,person122,10,0.21312914788722986,76.5
person040,person102,10,0.17889248654246329,34.5
person078,person096,10,0.16701121106743808,61.5
person052,person047,10,0.1577880814671516,36.0
person106,person092,10,0.1565059352666139,43.5
person083,person002,10,0.14418457075953478,67.5
person129,person069,10,0.14295712709426878,30.0
