person,yaw,illumination,path,A_predicted_person,A_predicted_label,A_correct,A_confidence,A_abs_yaw,B_predicted_person,B_predicted_label,B_correct,B_confidence,B_abs_yaw,abs_yaw,outcome
person104,-15,18,E:\Thesis\Dataset\correct_angle_all\person104\left\15_degree18.png,person132,131,0,0.1998200714588165,15,person103,102,0,0.916407346725464,15,15,Both wrong
person104,-15,9,E:\Thesis\Dataset\correct_angle_all\person104\left\15_degree09.png,person132,131,0,0.1359761357307434,15,person103,102,0,0.91616028547287,15,15,Both wrong
person093,-45,18,E:\Thesis\Dataset\correct_angle_all\person093\left\45_degree_18.png,person139,138,0,0.1670925617218017,45,person143,142,0,0.8946102261543274,45,45,Both wrong
person079,-90,9,E:\Thesis\Dataset\correct_angle_all\person079\left\90_degree_09.png,person035,34,0,0.0404739528894424,90,person036,35,0,0.8741467595100403,90,90,Both wrong
person123,-90,14,E:\Thesis\Dataset\correct_angle_all\person123\left\90_degree_14.png,person003,2,0,0.0909457132220268,90,person036,35,0,0.8682117462158203,90,90,Both wrong
person101,15,2,E:\Thesis\Dataset\correct_angle_all\person101\right\15_degree02.png,person068,67,0,0.0860807672142982,15,person104,103,0,0.8201348185539246,15,15,Both wrong
person104,-15,14,E:\Thesis\Dataset\correct_angle_all\person104\left\15_degree14.png,person132,131,0,0.2383433282375335,15,person103,102,0,0.819877028465271,15,15,Both wrong
person079,-90,18,E:\Thesis\Dataset\correct_angle_all\person079\left\90_degree_18.png,person035,34,0,0.0740067139267921,90,person036,35,0,0.8056695461273193,90,90,Both wrong
person093,-45,9,E:\Thesis\Dataset\correct_angle_all\person093\left\45_degree_09.png,person139,138,0,0.15754035115242,45,person143,142,0,0.7959480285644531,45,45,Both wrong
person020,75,2,E:\Thesis\Dataset\correct_angle_all\person020\right\75_degree02.png,person023,22,0,0.0714746564626693,75,person059,58,0,0.7808439135551453,75,75,Both wrong
person093,-45,14,E:\Thesis\Dataset\correct_angle_all\person093\left\45_degree_14.png,person139,138,0,0.1277211308479309,45,person143,142,0,0.7672988176345825,45,45,Both wrong
person009,90,9,E:\Thesis\Dataset\correct_angle_all\person009\right\90_degree09.png,person035,34,0,0.1005725637078285,90,person036,35,0,0.7660597562789917,90,90,Both wrong
person079,-90,14,E:\Thesis\Dataset\correct_angle_all\person079\left\90_degree_14.png,person035,34,0,0.0904959738254547,90,person036,35,0,0.7565884590148926,90,90,Both wrong
person149,15,18,E:\Thesis\Dataset\correct_angle_all\person149\right\15_degree18.png,person002,1,0,0.11637794226408,15,person059,58,0,0.7483583688735962,15,15,Both wrong
person149,15,9,E:\Thesis\Dataset\correct_angle_all\person149\right\15_degree09.png,person059,58,0,0.1160905957221984,15,person059,58,0,0.7460551857948303,15,15,Both wrong
