person,B_predicted_person,count,mean_confidence,mean_abs_yaw
person079,person036,11,0.5603749535300515,85.9090909090909
person009,person036,10,0.5344425410032272,85.5
person042,person036,10,0.4396224856376648,84.0
person040,person101,9,0.513956305053499,83.33333333333333
person149,person059,8,0.4774752501398325,41.25
person016,person036,7,0.39729043415614534,90.0
person112,person140,7,0.2616283361400877,83.57142857142857
person148,person116,6,0.2938608191907406,62.5
person122,person011,6,0.29376305763920146,85.0
person104,person103,5,0.7515210211277008,21.0
person148,person039,5,0.5130365908145904,60.0
person077,person063,5,0.24395788609981536,63.0
person117,person011,5,0.23145957887172694,90.0
person038,person092,5,0.22496200352907175,87.0
person067,person084,5,0.20098158419132234,87.0
person123,person036,4,0.6726121976971626,90.0
person101,person104,4,0.6473029404878616,15.0
person144,person080,4,0.5935036465525627,90.0
person114,person036,4,0.4936392307281494,90.0
person125,person103,4,0.47369933873414993,45.0
person030,person039,4,0.39349769055843353,78.75
person003,person093,4,0.3819559812545776,90.0
person088,person055,4,0.35792844370007515,90.0
person098,person101,4,0.306736446917057,82.5
person125,person091,4,0.3059291020035743,90.0
person018,person036,4,0.3007781691849231,86.25
person097,person143,4,0.29144597053527826,90.0
person108,person034,4,0.2765418663620949,78.75
person007,person149,4,0.2638427875936031,90.0
person033,person149,4,0.2614374756813049,90.0
person073,person084,4,0.22461552545428273,90.0
person151,person092,4,0.19078954495489592,90.0
person085,person081,4,0.17906079813838002,86.25
person066,person114,4,0.13158087432384488,90.0
person087,person036,4,0.12351141683757302,82.5
person093,person143,3,0.8192856907844543,45.0
person131,person064,3,0.437435378630956,80.0
person149,person096,3,0.427376389503479,80.0
person149,person111,3,0.3887685040632884,90.0
person119,person045,3,0.3825680712858836,80.0
person027,person146,3,0.3458133339881897,90.0
person149,person023,3,0.3434597949186961,55.0
person002,person033,3,0.32929866512616474,90.0
person086,person071,3,0.3239459842443466,90.0
person028,person096,3,0.3230604926745097,90.0
person020,person106,3,0.3125171363353729,90.0
person085,person052,3,0.3090754449367523,85.0
person108,person080,3,0.2906421075264613,90.0
person010,person110,3,0.2628584255774815,90.0
person135,person047,3,0.25957050174474716,85.0
person148,person080,3,0.24544638892014822,85.0
person025,person059,3,0.23060519993305204,85.0
person032,person024,3,0.22641336917877194,85.0
person136,person148,3,0.22601674993832901,70.0
person039,person045,3,0.22061500449975324,55.0
person128,person055,3,0.2191636612017949,90.0
person057,person116,3,0.215517770498991,80.0
person060,person059,3,0.21340366204579672,90.0
person126,person134,3,0.19392478466033933,85.0
person030,person034,3,0.18756177028020218,90.0
person073,person113,3,0.16928935050964353,90.0
person034,person027,3,0.16678292055924726,90.0
person124,person098,3,0.16304622093836463,55.0
person062,person128,3,0.16222592194875077,90.0
person065,person013,3,0.1527723520994186,90.0
person070,person036,3,0.14800081153710679,90.0
person124,person101,3,0.14369790256023404,85.0
person135,person035,3,0.14269002030293143,90.0
person034,person020,3,0.13469705233971277,90.0
person107,person152,3,0.1190493454535802,90.0
person144,person116,2,0.574876219034195,90.0
person059,person023,2,0.5237664133310318,45.0
person071,person011,2,0.5164377391338348,90.0
person052,person051,2,0.48431262373924255,45.0
person071,person135,2,0.47776420414447784,45.0
person064,person141,2,0.4549708217382431,90.0
person134,person126,2,0.45207713544368744,90.0
person143,person015,2,0.44335173070430756,75.0
person082,person111,2,0.4309834837913513,90.0
person017,person015,2,0.4179927408695221,75.0
person143,person116,2,0.41152250766754145,90.0
person013,person135,2,0.39345168322324753,52.5
person072,person052,2,0.3843494355678558,90.0
person096,person039,2,0.38426706194877625,45.0
person011,person101,2,0.3827254325151443,75.0
person070,person015,2,0.3688080459833145,75.0
person005,person039,2,0.3679317831993103,90.0
person151,person128,2,0.358280286192894,90.0
person145,person053,2,0.3552894294261932,90.0
person138,person072,2,0.3479050397872925,90.0
person111,person059,2,0.34229727089405054,82.5
person041,person028,2,0.3316490203142166,15.0
person002,person045,2,0.33128054067492485,82.5
person055,person059,2,0.3266451805830001,75.0
person088,person080,2,0.32289309799671173,75.0
person133,person052,2,0.30785849690437317,90.0
person097,person045,2,0.3034870028495788,75.0
person087,person134,2,0.30228143930435175,90.0
person021,person067,2,0.299694761633873,45.0
person052,person072,2,0.2974815964698791,15.0
