seed,abs_yaw,n_images_A,model_A_accuracy,model_A_macro_f1,n_images_B,model_B_accuracy,model_B_macro_f1,accuracy_gain_B_minus_A,macro_f1_gain_B_minus_A,n_images
42,0,612.0,1.0,1.0,612.0,1.0,1.0,0.0,0.0,
42,15,1224.0,0.4248366013071895,0.4071938128482268,1224.0,0.9730392156862744,0.97212685419448,0.548202614379085,0.564933041346253,
42,30,1224.0,0.1887254901960784,0.1705704199570876,1224.0,1.0,1.0,0.8112745098039216,0.8294295800429123,
42,45,1224.0,0.0915032679738562,0.0756233504774656,1224.0,0.937908496732026,0.9359960006335892,0.8464052287581699,0.8603726501561236,
42,60,1224.0,0.0555555555555555,0.0433245741483233,1224.0,0.9983660130718954,0.9983596052800204,0.94281045751634,0.9550350311316972,
42,75,1224.0,0.0269607843137254,0.0185912934490889,1224.0,0.7026143790849673,0.7366057061696499,0.6756535947712418,0.718014412720561,
42,90,1224.0,0.0277777777777777,0.016035862425408,1224.0,0.5179738562091504,0.4992294487852168,0.4901960784313726,0.4831935863598088,
123,0,,1.0,1.0,,1.0,1.0,0.0,0.0,612.0
123,15,,0.4550653594771242,0.4254646600697971,,0.9640522875816994,0.9622707635395064,0.5089869281045751,0.5368061034697093,1224.0
123,30,,0.1519607843137254,0.1352928902207398,,1.0,1.0,0.8480392156862745,0.8647071097792601,1224.0
123,45,,0.0604575163398692,0.0402085908959166,,0.9395424836601308,0.9377282339128996,0.8790849673202614,0.897519643016983,1224.0
123,60,,0.0473856209150326,0.0340817677163892,,0.9975490196078431,0.9975394079200308,0.9501633986928104,0.9634576402036416,1224.0
123,75,,0.0269607843137254,0.0160707498529188,,0.696078431372549,0.7318490764132477,0.6691176470588235,0.7157783265603288,1224.0
123,90,,0.0318627450980392,0.0209806715072588,,0.548202614379085,0.5254175881318673,0.5163398692810458,0.5044369166246085,1224.0
2026,0,,1.0,1.0,,1.0,1.0,0.0,0.0,612.0
2026,15,,0.3970588235294117,0.3804252207614982,,0.949346405228758,0.9466668709384064,0.5522875816993464,0.5662416501769082,1224.0
2026,30,,0.125,0.1044254896846981,,1.0,1.0,0.875,0.8955745103153019,1224.0
2026,45,,0.0539215686274509,0.0328230239636389,,0.9354575163398692,0.9333193631408896,0.8815359477124183,0.9004963391772506,1224.0
2026,60,,0.0375816993464052,0.0232788532934635,,0.9967320261437908,0.9967224144559784,0.9591503267973857,0.9734435611625152,1224.0
2026,75,,0.0147058823529411,0.008471407250412,,0.6495098039215687,0.6968736970188925,0.6348039215686275,0.6884022897684805,1224.0
2026,90,,0.0204248366013071,0.01231792599728,,0.5506535947712419,0.5345850386340553,0.5302287581699346,0.5222671126367752,1224.0
