person,direction,angle,yaw,illumination,filename,path,experiment,split,training_condition,abs_yaw,pose_group,yaw_status_for_model_b
person001,frontal,0,0,1,frontal_01.png,person001/frontal/frontal_01.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,4,frontal_04.png,person001/frontal/frontal_04.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,6,frontal_06.png,person001/frontal/frontal_06.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,7,frontal_07.png,person001/frontal/frontal_07.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,8,frontal_08.png,person001/frontal/frontal_08.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,10,frontal_10.png,person001/frontal/frontal_10.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,11,frontal_11.png,person001/frontal/frontal_11.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,13,frontal_13.png,person001/frontal/frontal_13.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,15,frontal_15.png,person001/frontal/frontal_15.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,16,frontal_16.png,person001/frontal/frontal_16.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,17,frontal_17.png,person001/frontal/frontal_17.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person001,frontal,0,0,20,frontal_20.png,person001/frontal/frontal_20.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,1,frontal_01.png,person002/frontal/frontal_01.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,4,frontal_04.png,person002/frontal/frontal_04.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,6,frontal_06.png,person002/frontal/frontal_06.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,7,frontal_07.png,person002/frontal/frontal_07.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,8,frontal_08.png,person002/frontal/frontal_08.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,10,frontal_10.png,person002/frontal/frontal_10.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,11,frontal_11.png,person002/frontal/frontal_11.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,13,frontal_13.png,person002/frontal/frontal_13.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,15,frontal_15.png,person002/frontal/frontal_15.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,16,frontal_16.png,person002/frontal/frontal_16.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,17,frontal_17.png,person002/frontal/frontal_17.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person002,frontal,0,0,20,frontal_20.png,person002/frontal/frontal_20.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,1,frontal_01.png,person003/frontal/frontal_01.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,4,frontal_04.png,person003/frontal/frontal_04.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,6,frontal_06.png,person003/frontal/frontal_06.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,7,frontal_07.png,person003/frontal/frontal_07.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,8,frontal_08.png,person003/frontal/frontal_08.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,10,frontal_10.png,person003/frontal/frontal_10.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,11,frontal_11.png,person003/frontal/frontal_11.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,13,frontal_13.png,person003/frontal/frontal_13.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,15,frontal_15.png,person003/frontal/frontal_15.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,16,frontal_16.png,person003/frontal/frontal_16.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,17,frontal_17.png,person003/frontal/frontal_17.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person003,frontal,0,0,20,frontal_20.png,person003/frontal/frontal_20.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person004,frontal,0,0,1,frontal_01.png,person004/frontal/frontal_01.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person004,frontal,0,0,4,frontal_04.png,person004/frontal/frontal_04.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person004,frontal,0,0,6,frontal_06.png,person004/frontal/frontal_06.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person004,frontal,0,0,7,frontal_07.png,person004/frontal/frontal_07.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
person004,frontal,0,0,8,frontal_08.png,person004/frontal/frontal_08.png,Model_A,train,frontal_only,0,frontal,seen_training_pose
