person,direction,angle,yaw,illumination,filename,path,experiment,split,training_condition,abs_yaw,pose_group,yaw_status_for_model_b
person001,left,60,-60,13,60_degree_13.png,person001/left/60_degree_13.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person001,left,60,-60,15,60_degree_15.png,person001/left/60_degree_15.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person001,left,30,-30,7,30_degree_07.png,person001/left/30_degree_07.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person001,left,30,-30,17,30_degree_17.png,person001/left/30_degree_17.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person001,frontal,0,0,4,frontal_04.png,person001/frontal/frontal_04.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person001,frontal,0,0,11,frontal_11.png,person001/frontal/frontal_11.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person001,frontal,0,0,16,frontal_16.png,person001/frontal/frontal_16.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person001,frontal,0,0,20,frontal_20.png,person001/frontal/frontal_20.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person001,right,30,30,6,30_degree06.png,person001/right/30_degree06.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person001,right,30,30,8,30_degree08.png,person001/right/30_degree08.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person001,right,60,60,1,60_degree01.png,person001/right/60_degree01.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person001,right,60,60,10,60_degree10.png,person001/right/60_degree10.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person002,left,60,-60,4,60_degree_04.png,person002/left/60_degree_04.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person002,left,60,-60,6,60_degree_06.png,person002/left/60_degree_06.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person002,left,30,-30,8,30_degree_08.png,person002/left/30_degree_08.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person002,left,30,-30,16,30_degree_16.png,person002/left/30_degree_16.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person002,frontal,0,0,7,frontal_07.png,person002/frontal/frontal_07.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person002,frontal,0,0,15,frontal_15.png,person002/frontal/frontal_15.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person002,frontal,0,0,17,frontal_17.png,person002/frontal/frontal_17.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person002,frontal,0,0,20,frontal_20.png,person002/frontal/frontal_20.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person002,right,30,30,1,30_degree01.png,person002/right/30_degree01.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person002,right,30,30,11,30_degree11.png,person002/right/30_degree11.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person002,right,60,60,10,60_degree10.png,person002/right/60_degree10.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person002,right,60,60,13,60_degree13.png,person002/right/60_degree13.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person003,left,60,-60,7,60_degree_07.png,person003/left/60_degree_07.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person003,left,60,-60,15,60_degree_15.png,person003/left/60_degree_15.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person003,left,30,-30,4,30_degree_04.png,person003/left/30_degree_04.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person003,left,30,-30,11,30_degree_11.png,person003/left/30_degree_11.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person003,frontal,0,0,1,frontal_01.png,person003/frontal/frontal_01.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person003,frontal,0,0,8,frontal_08.png,person003/frontal/frontal_08.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person003,frontal,0,0,10,frontal_10.png,person003/frontal/frontal_10.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person003,frontal,0,0,16,frontal_16.png,person003/frontal/frontal_16.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person003,right,30,30,6,30_degree06.png,person003/right/30_degree06.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person003,right,30,30,17,30_degree17.png,person003/right/30_degree17.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person003,right,60,60,13,60_degree13.png,person003/right/60_degree13.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person003,right,60,60,20,60_degree20.png,person003/right/60_degree20.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person004,left,60,-60,7,60_degree_07.png,person004/left/60_degree_07.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person004,left,60,-60,20,60_degree_20.png,person004/left/60_degree_20.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person004,left,30,-30,1,30_degree_01.png,person004/left/30_degree_01.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person004,left,30,-30,17,30_degree_17.png,person004/left/30_degree_17.png,Model_B,train,pose_diverse,30,left,seen_training_pose
person004,frontal,0,0,6,frontal_06.png,person004/frontal/frontal_06.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person004,frontal,0,0,11,frontal_11.png,person004/frontal/frontal_11.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person004,frontal,0,0,13,frontal_13.png,person004/frontal/frontal_13.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person004,frontal,0,0,15,frontal_15.png,person004/frontal/frontal_15.png,Model_B,train,pose_diverse,0,frontal,seen_training_pose
person004,right,30,30,8,30_degree08.png,person004/right/30_degree08.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person004,right,30,30,10,30_degree10.png,person004/right/30_degree10.png,Model_B,train,pose_diverse,30,right,seen_training_pose
person004,right,60,60,4,60_degree04.png,person004/right/60_degree04.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person004,right,60,60,16,60_degree16.png,person004/right/60_degree16.png,Model_B,train,pose_diverse,60,right,seen_training_pose
person005,left,60,-60,4,60_degree_04.png,person005/left/60_degree_04.png,Model_B,train,pose_diverse,60,left,seen_training_pose
person005,left,60,-60,7,60_degree_07.png,person005/left/60_degree_07.png,Model_B,train,pose_diverse,60,left,seen_training_pose
